Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 01/10  11:00:00,554505.243326824,1424520.77487107,5120393.12012176 
 01/10  12:00:00,6692679.29809734,0.0,12027647.2022699 
 01/10  13:00:00,8495550.6648745,0.0,13828221.2044662 
 01/10  14:00:00,6961583.20307586,0.0,12951853.9177593 
 01/10  15:00:00,2677702.84548538,93813.09021115,8571510.55551762 
 01/10  16:00:00,0.0,4194692.2898692,1364128.26671504 
 01/10  17:00:00,0.0,5830698.768153,427931.940467568 
 01/10  18:00:00,0.0,7289617.37119978,37491.3039633178 
 01/10  19:00:00,0.0,8383217.6296415,0.0 
 01/10  20:00:00,0.0,8291806.45870078,0.0 
 01/10  21:00:00,0.0,7874249.48245968,0.0 
 01/10  22:00:00,0.0,6954299.78584692,0.0 
 01/10  23:00:00,0.0,5562079.30348766,0.0 
 01/10  24:00:00,0.0,4279346.23294546,0.0 
 01/11  01:00:00,0.0,3604060.19005525,0.0 
 01/11  02:00:00,0.0,4211246.39261266,0.0 
 01/11  03:00:00,0.0,5220393.07691709,0.0 
 01/11  04:00:00,0.0,5797342.07255362,0.0 
 01/11  05:00:00,0.0,6541509.12626205,0.0 
 01/11  06:00:00,0.0,7659463.98153982,0.0 
 01/11  07:00:00,0.0,9368506.31919602,0.0 
 01/11  08:00:00,0.0,9149990.6187687,506372.229018197 
 01/11  09:00:00,0.0,2307870.58399102,4289110.63939433 
 01/11  10:00:00,2379897.22603695,0.0,8251384.04414559 
 01/11  11:00:00,5664052.50275222,0.0,11269343.6813856 
 01/11  12:00:00,7389145.51491048,0.0,13197330.5152514 
 01/11  13:00:00,7616271.35505399,0.0,13839150.5012655 
 01/11  14:00:00,6565352.35361113,0.0,13056612.491843 
 01/11  15:00:00,4315239.47011236,0.0,11375233.9570689 
 01/11  16:00:00,1058194.75265964,84362.6146819007,8858396.21483431 
 01/11  17:00:00,0.0,3990012.74161263,4924673.12252204 
 01/11  18:00:00,0.0,8539454.53603578,534374.673605251 
 01/11  19:00:00,0.0,9456574.80295644,0.0 
 01/11  20:00:00,0.0,9160380.78586101,0.0 
 01/11  21:00:00,0.0,8454699.45008825,0.0 
 01/11  22:00:00,0.0,7222220.41647716,0.0 
 01/11  23:00:00,0.0,5560014.50462204,0.0 
 01/11  24:00:00,0.0,4278548.69126394,0.0 
 01/12  01:00:00,0.0,3250331.56819422,0.0 
 01/12  02:00:00,0.0,3835241.79048741,0.0 
 01/12  03:00:00,0.0,4821467.06013286,0.0 
 01/12  04:00:00,0.0,5698260.03204796,0.0 
 01/12  05:00:00,0.0,6833814.18546305,0.0 
 01/12  06:00:00,0.0,8826488.57046779,0.0 
 01/12  07:00:00,0.0,10503568.0202247,0.0 
 01/12  08:00:00,0.0,10357388.4034368,486401.499261202 
 01/12  09:00:00,0.0,3896270.65115343,4058870.94564555 
 01/12  10:00:00,1946422.20826927,0.0,7884180.75843671 
 01/12  11:00:00,5413328.08884751,0.0,11022359.1783465 
 01/12  12:00:00,7576411.94874442,0.0,12958070.1917105 
 01/12  13:00:00,7905506.80173236,0.0,13713584.8056464 
 01/12  14:00:00,6704154.19890364,0.0,12911773.8979832 
 01/12  15:00:00,4071067.1626754,0.0,10815712.4510023 
 01/12  16:00:00,744745.723041656,160249.854510252,7987802.58400393 
 01/12  17:00:00,0.0,4016742.06448613,4410826.2612083 
 01/12  18:00:00,0.0,8452415.53566076,469738.264346017 
 01/12  19:00:00,0.0,9386843.34298647,0.0 
 01/12  20:00:00,0.0,9115662.56503623,0.0 
 01/12  21:00:00,0.0,8387708.23398737,0.0 
 01/12  22:00:00,0.0,7215655.12225119,0.0 
 01/12  23:00:00,0.0,5560723.98029102,0.0 
 01/12  24:00:00,0.0,4278931.79251101,0.0 
 01/13  01:00:00,0.0,3250699.1931515,0.0 
 01/13  02:00:00,0.0,4722633.56528075,0.0 
 01/13  03:00:00,0.0,5923765.51936447,0.0 
 01/13  04:00:00,0.0,6884152.87267983,0.0 
 01/13  05:00:00,0.0,8231259.75198768,0.0 
 01/13  06:00:00,0.0,9893977.6494889,0.0 
 01/13  07:00:00,0.0,11642420.0811537,0.0 
 01/13  08:00:00,0.0,11554355.118988,499499.803578269 
 01/13  09:00:00,0.0,4508897.16632688,4167836.4710636 
 01/13  10:00:00,2138552.12538741,0.0,8151204.73230402 
 01/13  11:00:00,5308738.48523311,0.0,10919225.2497333 
 01/13  12:00:00,7450601.4098296,0.0,12785923.6733125 
 01/13  13:00:00,7783273.94254567,0.0,13228206.1271828 
 01/13  14:00:00,6917309.67164666,0.0,12840459.8013778 
 01/13  15:00:00,4836483.48431492,0.0,11266349.5232679 
 01/13  16:00:00,1287895.8886472,0.0,8499285.76636588 
 01/13  17:00:00,0.0,3460850.27967323,4888369.29117292 
 01/13  18:00:00,0.0,8131051.82748702,553315.981748254 
 01/13  19:00:00,0.0,9051606.39024793,0.0 
 01/13  20:00:00,0.0,8635100.40639494,0.0 
 01/13  21:00:00,0.0,7925624.52050589,0.0 
 01/13  22:00:00,0.0,6956345.16839467,0.0 
